grand_area,OverallQual,GarageCars,total_rooms,MasVnrArea,Fireplaces,LotFrontage,ExterQual,HeatingQC,BsmtQual,KitchenQual,GarageFinish,MasVnrType,SalePrice
3442,7,2,6,0.0,1,57.27,Gd,TA,Gd,Gd,Fin,None,260000
3734,8,2,7,186.0,1,64.0,Ex,Ex,Ex,Gd,Fin,Stone,392500
3245,6,2,9,16.0,1,60.0,TA,Ex,Gd,TA,Fin,BrkFace,179000
2630,6,2,6,0.0,2,62.45,TA,TA,Gd,TA,RFn,None,146800
2176,5,1,5,0.0,0,57.27,TA,TA,TA,TA,Unf,None,144000
3932,9,2,8,616.0,1,63.0,Ex,Ex,Ex,Ex,RFn,BrkFace,266000
3290,7,2,9,0.0,1,71.28,Gd,Ex,Gd,Gd,Fin,None,248000
1947,6,1,7,105.0,0,75.0,TA,TA,TA,TA,RFn,BrkFace,140000
4654,8,3,12,0.0,1,85.66,Gd,Ex,Gd,Gd,RFn,None,310000
2864,7,2,8,106.0,0,36.0,Gd,Ex,Gd,Gd,RFn,Stone,154000
3545,5,2,7,0.0,1,70.0,TA,Gd,TA,Gd,RFn,None,165500
2197,5,1,6,0.0,0,79.0,TA,TA,TA,TA,Unf,None,123000
3423,6,1,10,0.0,0,90.0,TA,TA,TA,Fa,Unf,None,117500
3100,6,2,7,260.0,1,62.45,Gd,Ex,Gd,Gd,Fin,BrkFace,222000
3212,8,2,9,0.0,0,68.0,Gd,Ex,Gd,Gd,RFn,None,212000
2491,5,1,7,0.0,0,68.22,TA,Ex,TA,TA,Fin,None,138800
4803,8,3,11,375.0,1,110.0,Gd,Gd,Gd,Gd,Fin,BrkFace,395000
4424,9,3,11,452.0,1,90.0,Ex,Ex,Ex,Gd,Unf,BrkFace,314813
4066,7,3,9,228.0,0,73.0,Gd,Ex,Gd,Gd,RFn,BrkFace,232000
3528,6,1,11,0.0,1,61.0,TA,Ex,TA,Gd,Unf,None,259500
2939,7,2,8,189.0,1,80.0,TA,TA,Gd,TA,RFn,BrkFace,152000
3088,6,2,9,0.0,2,50.0,TA,Ex,TA,TA,Unf,None,159000
2754,6,2,9,0.0,0,64.0,Gd,Ex,Gd,Gd,Fin,None,173500
3731,7,2,7,145.0,1,62.45,Gd,Gd,Gd,Gd,Fin,BrkFace,275000
2344,5,1,8,0.0,0,75.0,TA,Gd,TA,TA,Fin,None,135500
3736,7,2,10,573.0,0,77.92,TA,Ex,Gd,Gd,RFn,BrkFace,219500
1948,5,2,5,0.0,0,30.0,TA,Gd,Fa,TA,Unf,None,73000
1881,6,1,7,381.0,0,21.0,TA,TA,TA,TA,Unf,BrkFace,88000
2468,5,1,7,0.0,0,68.22,TA,TA,TA,TA,Unf,None,136500
1832,5,1,5,294.0,2,60.0,TA,TA,TA,Gd,Unf,Stone,119000
2366,5,1,7,0.0,0,70.0,TA,TA,TA,TA,RFn,None,133700
3773,7,2,10,0.0,1,75.0,Gd,Ex,Gd,Gd,RFn,None,253000
1747,4,1,6,0.0,0,21.0,TA,TA,Gd,TA,Unf,None,91000
2185,3,2,10,0.0,1,77.92,TA,Ex,TA,TA,Unf,None,139600
3868,8,2,6,0.0,1,41.0,Gd,Ex,Ex,Ex,Fin,None,286000
3059,7,2,9,50.0,0,24.0,Gd,Ex,Gd,Gd,Unf,Stone,130000
5267,8,2,10,0.0,1,174.0,Gd,Gd,TA,Gd,Unf,None,235000
4532,8,3,9,300.0,1,86.0,Gd,Ex,Ex,Ex,Fin,Stone,325624
3711,7,2,8,171.0,1,75.0,Gd,Ex,Gd,Gd,Unf,BrkFace,213000
3009,6,2,9,116.0,0,70.0,TA,Ex,Gd,Gd,RFn,BrkFace,200500
2224,4,1,9,0.0,0,57.0,TA,Fa,TA,TA,Unf,None,107000
2441,6,1,8,0.0,0,60.0,TA,Ex,TA,TA,Unf,None,135000
2543,4,1,8,0.0,0,60.0,TA,Gd,TA,TA,Unf,None,108000
3983,6,2,8,0.0,1,137.0,Gd,Ex,TA,Gd,Fin,None,190000
4649,7,3,11,256.0,1,90.0,Gd,Ex,Gd,Gd,RFn,BrkFace,260000
2977,7,2,9,40.0,1,74.0,TA,Gd,Gd,TA,Fin,BrkFace,185000
2062,5,1,6,31.0,0,62.45,TA,TA,TA,TA,Unf,BrkFace,122000
2341,6,1,8,0.0,0,54.0,TA,TA,TA,TA,Unf,None,103600
3247,7,2,12,0.0,1,85.66,Gd,Gd,Gd,Gd,Fin,None,199900
3322,7,2,8,98.0,0,65.0,Gd,Ex,Gd,Gd,RFn,BrkFace,185500
2140,3,1,7,0.0,0,50.0,TA,Ex,TA,TA,Unf,None,120000
3490,7,2,7,0.0,1,62.45,Gd,Ex,Gd,Gd,RFn,None,215000
3402,5,2,8,0.0,1,90.0,Gd,TA,Gd,Gd,RFn,None,218000
1646,4,2,7,0.0,0,67.0,TA,Ex,TA,Gd,Fin,None,108000
2050,4,2,5,0.0,0,69.0,TA,TA,TA,TA,Unf,None,129500
2976,7,2,8,0.0,1,62.0,Gd,Ex,Gd,Gd,Unf,None,176000
3084,5,1,7,128.0,1,70.0,TA,TA,TA,TA,RFn,BrkFace,143000
2630,5,2,6,0.0,0,60.0,TA,Gd,Ex,TA,Fin,None,157000
974,2,1,4,0.0,0,60.0,TA,TA,TA,Fa,Unf,None,60000
3984,6,2,9,157.0,1,79.0,TA,TA,Gd,TA,Unf,BrkFace,207500
1260,4,0,4,0.0,0,21.0,TA,Ex,Gd,TA,Unf,None,75500
1468,5,2,8,0.0,0,60.0,TA,Gd,TA,TA,Unf,None,98300
2393,6,2,7,0.0,1,60.0,TA,Ex,TA,TA,Unf,None,131000
3176,7,2,9,288.0,2,77.92,TA,TA,TA,Gd,Unf,Stone,201800
2862,5,2,9,263.0,0,80.0,TA,Ex,TA,TA,Fin,BrkFace,152000
1758,6,1,6,297.0,1,21.0,TA,TA,TA,TA,Unf,BrkFace,94500
2687,7,2,7,11.0,1,43.0,Gd,Ex,Gd,Gd,Fin,BrkFace,160200
2198,5,2,6,0.0,1,100.0,TA,TA,TA,TA,Unf,None,142500
2131,6,1,7,0.0,1,75.0,TA,TA,Gd,TA,RFn,None,120000
7685,10,3,13,0.0,2,160.0,Gd,Ex,Ex,Ex,Fin,None,745000
3681,7,2,9,240.0,2,71.28,TA,Ex,Gd,TA,RFn,Stone,200000
4578,9,3,7,0.0,1,68.0,Gd,Gd,Ex,Gd,Fin,None,385000
4084,8,3,9,338.0,1,71.0,Gd,Ex,Gd,Gd,RFn,Stone,293077
2800,6,2,7,72.0,1,54.0,TA,Gd,Gd,Gd,Unf,BrkFace,176000
2244,5,1,6,0.0,0,50.0,TA,TA,TA,TA,Unf,None,110000
4063,8,2,9,0.0,1,71.28,Gd,Ex,Gd,Ex,RFn,None,236500
3754,8,2,9,0.0,1,81.0,Gd,Ex,Gd,Gd,RFn,None,232600
2352,5,1,7,132.0,0,80.0,TA,Ex,TA,TA,RFn,BrkFace,124500
4766,9,3,12,0.0,1,89.0,Ex,Ex,Ex,Ex,Fin,None,378500
4180,8,3,9,200.0,1,98.0,Gd,Ex,Ex,Gd,RFn,Stone,306000
2682,4,2,6,0.0,1,60.0,TA,TA,TA,Fa,Unf,None,115000
3269,7,2,10,0.0,0,91.0,Gd,Ex,Gd,Gd,RFn,None,202500
2842,7,2,8,0.0,0,62.0,Gd,Ex,Gd,Gd,RFn,None,185000
1924,4,1,7,0.0,0,68.22,TA,TA,TA,TA,RFn,None,83500
4154,8,3,8,274.0,1,67.0,Gd,Ex,Gd,Gd,RFn,Stone,248900
3888,5,2,12,0.0,1,60.0,TA,TA,TA,TA,Unf,None,160000
4598,9,3,10,302.0,1,84.0,Ex,Ex,Ex,Ex,Fin,Stone,320000
4796,8,3,10,473.0,1,80.0,Gd,Gd,Gd,Gd,Fin,BrkFace,315000
3156,6,1,9,0.0,0,75.0,TA,Ex,Gd,TA,Unf,None,160000
3010,7,2,8,0.0,1,43.0,Gd,Ex,Gd,Gd,RFn,None,212000
3888,5,2,10,164.0,0,77.92,TA,Fa,TA,TA,Unf,BrkFace,136905
2112,6,1,6,0.0,0,65.0,TA,Gd,TA,Gd,Unf,None,142000
2190,4,1,8,0.0,0,40.0,TA,Gd,TA,Gd,Unf,None,125500
1750,6,1,6,127.0,0,21.0,TA,TA,TA,TA,Unf,BrkFace,106000
